,country,polity2
141,Saudi Arabia,-10.0
142,Saxony,-8.26984126984127
143,Senegal,0.13559322033898305
144,Serbia,-0.3627450980392157
145,Serbia and Montenegro,6.0
146,Sierra Leone,-0.3448275862068966
147,Singapore,-1.3793103448275863
148,Slovak Republic,9.115384615384615
149,Slovenia,10.0
150,Solomon Islands,7.1
151,Somalia,-0.9655172413793104
152,South Africa,5.220183486238532
153,South Sudan,0.0
154,Spain,0.18779342723004694
155,Sri Lanka,6.0
156,Sudan,-3.7142857142857144
157,Sudan-North,-4.0
158,Suriname,3.0
159,Swaziland,-8.509803921568627
160,Sweden,1.730593607305936
161,Switzerland,10.0
162,Syria,-6.152777777777778
163,Taiwan,-0.6857142857142857
164,Tajikistan,-3.2142857142857144
165,Tanzania,-3.603448275862069
166,Thailand,-6.1192660550458715
167,Timor Leste,8.0
168,Togo,-4.745762711864407
169,Trinidad and Tobago,9.0
170,Tunisia,-4.8
171,Turkey,-3.688372093023256
172,Turkmenistan,-8.75
173,Tuscany,-9.934782608695652
174,Two Sicilies,-9.911111111111111
175,UAE,-8.0
176,USSR,-7.4
177,Uganda,-2.6785714285714284
178,Ukraine,5.964285714285714
179,United Kingdom,6.091324200913242
180,United Province CA,2.0
181,United States,9.32420091324201
182,Uruguay,1.2698412698412698
183,Uzbekistan,-9.0
184,Venezuela,-1.312169312169312
185,Vietnam,-7.0
186,Vietnam North,-7.913043478260869
187,Vietnam South,-3.0
188,Wuerttemburg,-4.791666666666667
189,Yemen,-1.5172413793103448
190,Yemen North,-6.808219178082192
191,Yemen South,-6.916666666666667
192,Yugoslavia,-5.120481927710843
193,Zambia,-0.34545454545454546
194,Zimbabwe,-0.5306122448979592
