,month,cow_id,iso_alpha3,gw_id,country,FEATUREID,border_change
107414,1954-03-01,345,YUG,345,Yugoslavia,191,0.0
107415,1954-04-01,345,YUG,345,Yugoslavia,191,0.0
107416,1954-05-01,345,YUG,345,Yugoslavia,191,0.0
107417,1954-06-01,345,YUG,345,Yugoslavia,191,0.0
107418,1954-07-01,345,YUG,345,Yugoslavia,191,0.0
107419,1954-08-01,345,YUG,345,Yugoslavia,191,0.0
107420,1954-09-01,345,YUG,345,Yugoslavia,191,0.0
107421,1954-10-01,345,YUG,345,Yugoslavia,191,0.0
107422,1954-11-01,345,YUG,345,Yugoslavia,191,0.0
107423,1954-12-01,345,YUG,345,Yugoslavia,191,0.0
107424,1955-01-01,345,YUG,345,Yugoslavia,191,0.0
107425,1955-02-01,345,YUG,345,Yugoslavia,191,0.0
107426,1955-03-01,345,YUG,345,Yugoslavia,191,0.0
107427,1955-04-01,345,YUG,345,Yugoslavia,191,0.0
107428,1955-05-01,345,YUG,345,Yugoslavia,191,0.0
107429,1955-06-01,345,YUG,345,Yugoslavia,191,0.0
107430,1955-07-01,345,YUG,345,Yugoslavia,191,0.0
107431,1955-08-01,345,YUG,345,Yugoslavia,191,0.0
107432,1955-09-01,345,YUG,345,Yugoslavia,191,0.0
107433,1955-10-01,345,YUG,345,Yugoslavia,191,0.0
107434,1955-11-01,345,YUG,345,Yugoslavia,191,0.0
107435,1955-12-01,345,YUG,345,Yugoslavia,191,0.0
107436,1956-01-01,345,YUG,345,Yugoslavia,191,0.0
107437,1956-02-01,345,YUG,345,Yugoslavia,191,0.0
107438,1956-03-01,345,YUG,345,Yugoslavia,191,0.0
107439,1956-04-01,345,YUG,345,Yugoslavia,191,0.0
107440,1956-05-01,345,YUG,345,Yugoslavia,191,0.0
107441,1956-06-01,345,YUG,345,Yugoslavia,191,0.0
107442,1956-07-01,345,YUG,345,Yugoslavia,191,0.0
107443,1956-08-01,345,YUG,345,Yugoslavia,191,0.0
107444,1956-09-01,345,YUG,345,Yugoslavia,191,0.0
107445,1956-10-01,345,YUG,345,Yugoslavia,191,0.0
